"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"631",0,5,5,1,1,3,5,2,5,5,5,5,3,0,2,1972,3,5
"632",0,5,5,5,5,5,5,5,5,5,1,5,3,0,1,1960,4,5
"635",0,5,5,3,1,1,3,1,1,1,1,5,3,5,1,1954,7,6
"640",1,1,1,3,1,3,3,3,3,3,3,1,1,10,1,1951,2,6
"641",0,5,4,2,1,2,2,2,3,2,2,5,2,10,2,1964,2,6
"642",1,1,4,1,1,1,1,1,2,1,1,2,1,10,2,1996,4,2
"643",0,5,5,1,1,1,1,1,1,1,1,5,3,0,2,1991,3,6
"644",1,1,4,2,2,2,2,2,2,2,2,1,1,10,1,1970,2,6
"645",1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1983,2,6
"647",1,1,1,2,2,2,2,2,2,2,2,2,1,7,2,1981,7,3
"648",1,3,2,3,1,2,2,2,2,2,3,2,1,8,2,1992,7,3
"649",0,5,2,2,1,1,1,1,2,1,1,4,2,0,1,1995,4,2
"651",0,5,2,3,4,3,3,4,3,2,3,5,3,2,1,1996,4,5
"655",1,3,4,1,1,1,1,1,1,1,1,2,1,10,1,1992,3,6
"658",0,5,2,1,1,1,1,1,3,2,1,5,2,1,1,1958,3,5
